sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,13.0075,2.33137,4.64258,2.01701,13.1123,2.18093,4.91422,1.65017,0.112175,0.0800335,0.726634,0.611458
L,13.2388,2.43409,4.605,2.08981,13.3215,2.30985,4.85476,1.77178,0.111672,0.0811322,0.720324,0.60707
R,13.4682,2.54047,4.56565,2.16317,13.5245,2.43896,4.78048,1.89248,0.110869,0.0815719,0.713986,0.602375
L,13.6955,2.65053,4.52448,2.23703,13.7679,2.55443,4.75662,1.97075,0.110267,0.0818698,0.707937,0.597785
R,13.9208,2.7643,4.48147,2.31134,13.9948,2.66089,4.72032,2.03506,0.109706,0.0823197,0.702104,0.593416
L,14.1439,2.88179,4.43656,2.38601,14.2207,2.80857,4.67015,2.15623,0.109197,0.0821632,0.696405,0.588813
R,14.3646,3.00303,4.38974,2.46099,14.4623,2.91194,4.66103,2.194,0.109001,0.0823311,0.69111,0.584621
L,14.583,3.12802,4.34097,2.5362,14.6726,3.00479,4.62725,2.22201,0.108691,0.0832221,0.68607,0.580963
R,14.7989,3.25679,4.29021,2.61157,14.8997,3.14073,4.59274,2.30631,0.10856,0.0838973,0.681289,0.577326
L,15.0122,3.38932,4.23744,2.68703,15.105,3.32233,4.51352,2.46135,0.108312,0.0836392,0.676446,0.573166
R,15.2228,3.52563,4.18263,2.76249,15.3234,3.47032,4.45885,2.55697,0.108188,0.0832462,0.671732,0.568988
L,15.4306,3.66572,4.12575,2.83789,15.5314,3.65549,4.38244,2.6989,0.10807,0.0825714,0.667014,0.564586
R,15.6355,3.80957,4.06678,2.91315,15.7474,3.78375,4.34671,2.74732,0.108132,0.0819684,0.662567,0.56041
L,15.8375,3.95719,4.00571,2.98817,15.9612,3.94021,4.29717,2.83115,0.108397,0.0813434,0.658313,0.556296
R,16.0363,4.10854,3.94251,3.0629,16.1678,4.09424,4.23332,2.91515,0.108795,0.0807252,0.65416,0.552242
L,16.2319,4.26363,3.87716,3.13723,16.361,4.29119,4.14537,3.04887,0.109137,0.0801747,0.649961,0.548087
R,16.4242,4.42242,3.80966,3.21109,16.5714,4.4457,4.10277,3.10979,0.109813,0.0796166,0.646026,0.544062
L,16.613,4.5849,3.74,3.28438,16.7494,4.62886,4.01477,3.21317,0.110257,0.0792025,0.642065,0.540057
R,16.7983,4.75103,3.66817,3.35704,16.9235,4.81619,3.898,3.33197,0.110491,0.0790142,0.637936,0.53608
L,16.9799,4.92077,3.59416,3.42897,17.087,5.04214,3.77409,3.47882,0.110442,0.0797888,0.633666,0.532215
R,17.1579,5.09409,3.51797,3.50008,17.2649,5.2153,3.69347,3.55043,0.110394,0.0805307,0.629473,0.528434
L,17.3319,5.27094,3.4396,3.57028,17.424,5.41339,3.59263,3.64487,0.110159,0.0817291,0.625289,0.524774
R,17.5019,5.45128,3.35907,3.63949,17.5885,5.59297,3.49899,3.71686,0.109866,0.0828594,0.62115,0.521197
L,17.6679,5.63506,3.27637,3.70762,17.7752,5.74629,3.46863,3.735,0.10983,0.0833134,0.617291,0.517624
R,17.8297,5.82221,3.19151,3.77458,17.9259,5.95084,3.34522,3.83424,0.109658,0.0840886,0.613366,0.514162
L,17.9872,6.01269,3.10453,3.84027,18.0945,6.14687,3.27532,3.89796,0.109627,0.084951,0.609583,0.510766
R,18.1402,6.20641,3.01542,3.90462,18.2439,6.35665,3.16886,3.98249,0.109551,0.086132,0.605815,0.507473
L,18.2888,6.40332,2.92421,3.96753,18.3665,6.5901,3.03023,4.08812,0.109197,0.0881785,0.601989,0.504354
R,18.4328,6.60333,2.83093,4.0289,18.5,6.80776,2.90759,4.17111,0.108761,0.0906176,0.598181,0.50137
L,18.572,6.80638,2.7356,4.08867,18.6456,6.97601,2.85311,4.18455,0.108387,0.0920426,0.59453,0.498303
R,18.7064,7.01237,2.63825,4.14672,18.7875,7.18686,2.77169,4.23998,0.108088,0.0935229,0.590991,0.495289
