sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,13.2388,2.43409,4.605,2.08981,13.4581,2.51964,4.89994,2.03708,0.245563,0.11604,0.738041,0.658057
R,13.4682,2.54047,4.56565,2.16317,13.5688,2.77925,4.7249,2.30498,0.24359,0.119595,0.731244,0.651995
L,13.6955,2.65053,4.52448,2.23703,13.804,2.89579,4.69668,2.36194,0.241741,0.123158,0.724698,0.646043
R,13.9208,2.7643,4.48147,2.31134,14.013,2.98888,4.6543,2.40167,0.239821,0.125782,0.718342,0.640151
L,14.1439,2.88179,4.43656,2.38601,14.2447,3.11024,4.62477,2.45805,0.238019,0.128384,0.712234,0.634379
R,14.3646,3.00303,4.38974,2.46099,14.5026,3.16031,4.64702,2.42296,0.236604,0.128956,0.706683,0.62871
L,14.583,3.12802,4.34097,2.5362,14.7339,3.28265,4.61898,2.476,0.23537,0.129451,0.701424,0.623222
R,14.7989,3.25679,4.29021,2.61157,14.9315,3.49788,4.5425,2.62272,0.233981,0.132177,0.696139,0.617828
L,15.0122,3.38932,4.23744,2.68703,15.1575,3.63023,4.51068,2.67708,0.23276,0.134752,0.691131,0.612571
R,15.2228,3.52563,4.18263,2.76249,15.3529,3.84389,4.41418,2.82758,0.231422,0.139799,0.685999,0.607503
L,15.4306,3.66572,4.12575,2.83789,15.5724,3.98652,4.37756,2.88394,0.230235,0.144604,0.681116,0.602531
R,15.6355,3.80957,4.06678,2.91315,15.7941,4.03989,4.37222,2.85833,0.229256,0.146385,0.676714,0.597693
L,15.8375,3.95719,4.00571,2.98817,16.0115,4.184,4.33631,2.91251,0.228484,0.148004,0.672612,0.593007
R,16.0363,4.10854,3.94251,3.0629,16.2089,4.34617,4.25625,3.00773,0.227717,0.149817,0.668488,0.588396
L,16.2319,4.26363,3.87716,3.13723,16.4204,4.49777,4.21664,3.06301,0.227165,0.151471,0.664661,0.583925
R,16.4242,4.42242,3.80966,3.21109,16.6372,4.63432,4.18046,3.10733,0.226958,0.152565,0.661184,0.579625
L,16.613,4.5849,3.74,3.28438,16.8449,4.79087,4.13951,3.16168,0.227034,0.153498,0.658044,0.575479
R,16.7983,4.75103,3.66817,3.35704,16.9732,5.04605,3.95374,3.35984,0.226355,0.15651,0.654104,0.571232
L,16.9799,4.92077,3.59416,3.42897,17.1694,5.2153,3.90373,3.41781,0.225863,0.159366,0.650416,0.567079
R,17.1579,5.09409,3.51797,3.50008,17.3442,5.33816,3.82782,3.46754,0.225347,0.16089,0.646814,0.563027
L,17.3319,5.27094,3.4396,3.57028,17.534,5.51279,3.7747,3.52529,0.225036,0.162311,0.643473,0.559074
R,17.5019,5.45128,3.35907,3.63949,17.6924,5.63285,3.68179,3.57968,0.224593,0.162594,0.64012,0.555222
L,17.6679,5.63506,3.27637,3.70762,17.8748,5.81309,3.62471,3.63746,0.22436,0.162816,0.637027,0.551468
R,17.8297,5.82221,3.19151,3.77458,17.9845,6.07249,3.43282,3.80389,0.223564,0.164308,0.633329,0.547739
