sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,13.2388,2.43409,4.605,2.08981,13.4624,2.80932,5.29039,0.666201,0.42351,1.25691,1.08337,1.90141
R,13.4682,2.54047,4.56565,2.16317,13.5506,2.98704,4.83427,0.65784,0.419574,1.24631,1.07355,1.89458
L,13.6955,2.65053,4.52448,2.23703,13.7923,3.01994,4.83427,0.65784,0.415809,1.23553,1.06422,1.88911
R,13.9208,2.7643,4.48147,2.31134,14.0071,3.0394,4.79453,0.629492,0.412109,1.22461,1.05518,1.88548
L,14.1439,2.88179,4.43656,2.38601,14.2468,3.07088,4.79453,0.629492,0.408581,1.2137,1.04666,1.88322
R,14.3646,3.00303,4.38974,2.46099,14.5157,3.09789,4.99795,0.660725,0.40542,1.20288,1.04045,1.88177
L,14.583,3.12802,4.34097,2.5362,14.7656,3.13093,4.99795,0.660725,0.402575,1.19228,1.03495,1.88166
R,14.7989,3.25679,4.29021,2.61157,14.9996,3.21018,5.04857,0.695454,0.399959,1.18197,1.03081,1.88226
L,15.0122,3.38932,4.23744,2.68703,15.2521,3.24495,5.04857,0.695454,0.397782,1.17206,1.02748,1.88416
R,15.2228,3.52563,4.18263,2.76249,15.476,3.32288,4.84407,0.691595,0.395806,1.16255,1.02245,1.88743
L,15.4306,3.66572,4.12575,2.83789,15.7182,3.35746,4.84407,0.691595,0.394271,1.15366,1.0182,1.89196
R,15.6355,3.80957,4.06678,2.91315,15.9353,3.37736,4.78581,0.667879,0.392927,1.14563,1.01407,1.89818
L,15.8375,3.95719,4.00571,2.98817,16.1746,3.41075,4.78581,0.667879,0.392103,1.13859,1.01078,1.90561
R,16.0363,4.10854,3.94251,3.0629,16.3878,3.49252,4.5859,0.666353,0.391501,1.13228,1.00607,1.91425
L,16.2319,4.26363,3.87716,3.13723,16.6171,3.52584,4.5859,0.666353,0.391404,1.12726,1.00217,1.92403
R,16.4242,4.42242,3.80966,3.21109,16.8519,3.62372,4.63569,0.715736,0.39198,1.12299,0.99973,1.93395
L,16.613,4.5849,3.74,3.28438,17.0837,3.6595,4.63569,0.715736,0.393271,1.1203,0.998257,1.94494
R,16.7983,4.75103,3.66817,3.35704,17.2522,3.7514,4.25233,0.677675,0.394231,1.11862,0.993419,1.95774
L,16.9799,4.92077,3.59416,3.42897,17.4649,3.78529,4.25233,0.677675,0.395694,1.11887,0.989371,1.97152
R,17.1579,5.09409,3.51797,3.50008,17.6565,3.83929,4.20952,0.681418,0.397352,1.12093,0.985751,1.98617
L,17.3319,5.27094,3.4396,3.57028,17.8669,3.87336,4.20952,0.681418,0.399621,1.12529,0.98304,2.00171
R,17.5019,5.45128,3.35907,3.63949,18.0431,3.91028,4.09902,0.663199,0.401928,1.13211,0.980077,2.01847
L,17.6679,5.63506,3.27637,3.70762,18.248,3.94344,4.09902,0.663199,0.404899,1.14163,0.978091,2.03602
R,17.8297,5.82221,3.19151,3.77458,18.4125,4.10677,3.94992,0.707429,0.40782,1.15129,0.975452,2.05341
L,17.9872,6.01269,3.10453,3.84027,18.61,4.14214,3.94992,0.707429,0.411426,1.16381,0.973833,2.07151
R,18.1402,6.20641,3.01542,3.90462,18.7829,4.35842,3.96999,0.810522,0.415304,1.1754,0.973582,2.08822
L,18.2888,6.40332,2.92421,3.96753,18.9814,4.39894,3.96999,0.810522,0.420079,1.18988,0.974554,2.10558
R,18.4328,6.60333,2.83093,4.0289,19.1403,4.57954,3.87141,0.862442,0.424997,1.20423,0.975427,2.12254
L,18.572,6.80638,2.7356,4.08867,19.3339,4.62266,3.87141,0.862442,0.430911,1.22154,0.977622,2.14007
R,18.7064,7.01237,2.63825,4.14672,19.5015,4.86583,3.92343,0.981579,0.437339,1.23738,0.982061,2.15589
L,18.8359,7.22122,2.53893,4.20299,19.6977,4.91491,3.92343,0.981579,0.445053,1.25614,0.988029,2.17223
R,18.9604,7.43283,2.43767,4.25737,19.8666,4.69841,3.66272,0.786747,0.453511,1.28445,0.991261,2.1927
L,19.0798,7.64712,2.3345,4.3098,20.0497,4.73775,3.66272,0.786747,0.463174,1.31602,0.995999,2.21349
R,19.1939,7.86397,2.22949,4.36017,20.1999,4.93346,3.6634,0.868445,0.473312,1.34668,1.00234,2.23302
L,19.3028,8.08329,2.12266,4.40842,20.3831,4.97688,3.6634,0.868445,0.48489,1.38048,1.01034,2.25281
R,19.4062,8.30497,2.01409,4.45445,20.5301,4.98492,3.63963,0.86572,0.497064,1.41836,1.01963,2.27286
L,19.5042,8.5289,1.90381,4.49819,20.7121,5.02821,3.63963,0.86572,0.510885,1.45927,1.03069,2.29307
R,19.5966,8.75494,1.7919,4.53956,20.8264,5.22096,3.4414,0.899988,0.524616,1.49907,1.0398,2.31278
L,19.6835,8.983,1.67841,4.57848,20.9985,5.26596,3.4414,0.899988,0.539963,1.54182,1.05069,2.33257
R,19.7645,9.21294,1.56341,4.61488,21.0986,5.51243,3.25517,0.953511,0.555064,1.58207,1.05995,2.35146
L,19.8398,9.44463,1.44697,4.64869,21.2614,5.56011,3.25517,0.953511,0.571767,1.62519,1.07101,2.37037
R,19.9093,9.67795,1.32916,4.67984,21.3641,5.65368,3.03213,0.921306,0.588532,1.6699,1.07987,2.3898
L,19.9728,9.91275,1.21005,4.70826,21.5157,5.69974,3.03213,0.921306,0.606832,1.71739,1.09054,2.40914
R,20.0303,10.1489,1.08972,4.73389,21.6001,6.07403,3.0864,1.10388,0.624935,1.75918,1.1041,2.42536
L,20.0818,10.3863,0.968259,4.75666,21.7544,6.12922,3.0864,1.10388,0.64489,1.80358,1.11957,2.4415
R,20.1271,10.6247,0.845742,4.77652,21.87,6.09037,2.84467,0.991565,0.665727,1.85288,1.13226,2.45928
L,20.1663,10.864,0.722256,4.7934,22.0122,6.13994,2.84467,0.991565,0.688295,1.90469,1.14683,2.47683
R,20.1993,11.1041,0.597892,4.80727,22.0681,6.543,2.80302,1.15346,0.710316,1.95016,1.16251,2.49165
L,20.2261,11.3449,0.472738,4.81807,22.2082,6.60068,2.80302,1.15346,0.734259,1.99801,1.1801,2.50625
R,20.2466,11.5861,0.346889,4.82575,22.3222,6.32812,2.37756,0.867695,0.75949,2.05635,1.19161,2.5249
L,20.2608,11.8275,0.220439,4.83027,22.4411,6.3715,2.37756,0.867695,0.786244,2.11695,1.20497,2.54312
R,20.2687,12.0692,0.093487,4.83159,22.5335,6.56819,2.57256,1.01202,0.813884,2.17582,1.22391,2.55873
L,20.2701,12.3108,-0.0338694,4.82968,22.6621,6.61879,2.57256,1.01202,0.843519,2.23669,1.24474,2.57391
R,20.2652,12.5522,-0.161529,4.82451,22.6673,6.88566,2.15839,0.995348,0.871872,2.29422,1.25946,2.58888
L,20.254,12.7933,-0.28939,4.81605,22.7752,6.93542,2.15839,0.995348,0.901919,2.35374,1.276,2.60336
R,20.2363,13.0339,-0.417348,4.80428,22.7602,7.50123,2.01929,1.17099,0.930525,2.40346,1.29183,2.61498
L,20.2122,13.2738,-0.545298,4.78918,22.8611,7.55978,2.01929,1.17099,0.960917,2.45515,1.30947,2.62613
R,20.1818,13.5129,-0.673135,4.77072,22.9146,7.69491,1.92637,1.18407,0.991949,2.50707,1.32718,2.63662
L,20.1449,13.7509,-0.800753,4.74892,23.0109,7.75412,1.92637,1.18407,1.02484,2.56079,1.34665,2.64662
R,20.1017,13.9878,-0.928043,4.72374,22.9998,8.09353,1.67581,1.21136,1.05693,2.61034,1.36331,2.65576
L,20.0521,14.2233,-1.0549,4.69521,23.0836,8.1541,1.67581,1.21136,1.0908,2.66164,1.38169,2.66437
R,19.9962,14.4573,-1.18121,4.66331,23.1214,8.24804,1.53745,1.18687,1.12535,2.71391,1.39929,2.67271
L,19.934,14.6897,-1.30687,4.62805,23.1982,8.30739,1.53745,1.18687,1.16168,2.76778,1.41855,2.68048
R,19.8655,14.9202,-1.43177,4.58944,23.2349,8.39801,1.44934,1.19193,1.19885,2.82251,1.43786,2.6876
L,19.7908,15.1486,-1.55581,4.54751,23.3074,8.4576,1.44934,1.19193,1.23786,2.87864,1.45876,2.69413
R,19.7099,15.3749,-1.67887,4.50226,23.1335,9.13029,0.783225,1.16774,1.27284,2.92426,1.47034,2.7003
L,19.6229,15.5989,-1.80085,4.45372,23.1727,9.18867,0.783225,1.16774,1.30919,2.97144,1.48341,2.70584
R,19.5298,15.8203,-1.92164,4.40193,23.1188,9.52546,0.719738,1.28367,1.34485,3.01503,1.49699,2.7096
L,19.4307,16.039,-2.04114,4.3469,23.1547,9.58964,0.719738,1.28367,1.38201,3.05999,1.51202,2.71276
R,19.3257,16.2549,-2.15925,4.28868,23.154,9.72138,0.710313,1.34543,1.41992,3.10504,1.52832,2.71476
L,19.2148,16.4679,-2.27586,4.22731,23.1895,9.78865,0.710313,1.34543,1.45948,3.15123,1.54601,2.71619
R,19.0981,16.6777,-2.39087,4.16284,23.0808,10.2026,0.445303,1.37299,1.49754,3.19257,1.56093,2.7168
L,18.9757,16.8841,-2.50418,4.0953,23.1031,10.2713,0.445303,1.37299,1.53717,3.23499,1.57715,2.71684
R,18.8477,17.0872,-2.61571,4.02476,22.8123,11.1386,-0.120052,1.38494,1.57181,3.26591,1.58669,2.71623
L,18.7142,17.2866,-2.72534,3.95127,22.8063,11.2078,-0.120052,1.38494,1.60773,3.29794,1.59742,2.71506
R,18.5752,17.4822,-2.83299,3.87489,22.7233,11.5389,0.0202442,1.69831,1.64342,3.32723,1.61124,2.71121
L,18.4309,17.674,-2.93858,3.79568,22.7244,11.6238,0.0202442,1.69831,1.68069,3.35731,1.62622,2.70692
R,18.2814,17.8617,-3.042,3.71372,22.7728,11.5084,-0.00734103,1.60501,1.72054,3.39099,1.64191,2.70276
L,18.1268,18.0453,-3.14318,3.62906,22.7724,11.5887,-0.00734103,1.60501,1.76199,3.42532,1.65868,2.69816
R,17.9671,18.2246,-3.24204,3.5418,22.7423,11.5508,-0.349038,1.35885,1.80447,3.46196,1.67165,2.69457
L,17.8026,18.3994,-3.3385,3.45199,22.7248,11.6188,-0.349038,1.35885,1.8483,3.49924,1.68562,2.69049
R,17.6334,18.5697,-3.43247,3.35973,22.435,12.4094,-0.553833,1.57264,1.88812,3.52695,1.69781,2.68479
L,17.4595,18.7353,-3.5239,3.26509,22.4073,12.488,-0.553833,1.57264,1.92932,3.55518,1.71091,2.6787
R,17.281,18.8962,-3.61271,3.16817,22.4405,12.2991,-0.715101,1.30377,1.9731,3.58745,1.7228,2.67354
L,17.0983,19.0521,-3.69883,3.06904,22.4048,12.3643,-0.715101,1.30377,2.01814,3.62019,1.73551,2.66795
R,16.9113,19.203,-3.78221,2.9678,22.1188,13.0034,-0.921541,1.47534,2.0597,3.64582,1.74643,2.6612
L,16.7201,19.3488,-3.86278,2.86455,22.0728,13.0771,-0.921541,1.47534,2.1025,3.6718,1.7581,2.65413
R,16.5251,19.4894,-3.9405,2.75938,21.8273,13.5253,-1.20964,1.45582,2.14294,3.69353,1.76707,2.64682
L,16.3262,19.6246,-4.01531,2.65237,21.7668,13.5981,-1.20964,1.45582,2.18452,3.71555,1.77671,2.63923
R,16.1237,19.7545,-4.08716,2.54364,22.1619,12.5308,-1.16514,0.830106,2.23572,3.75225,1.7875,2.63377
L,15.9176,19.8789,-4.15602,2.43329,22.1036,12.5723,-1.16514,0.830106,2.28788,3.78922,1.79887,2.62789
R,15.7082,19.9978,-4.22185,2.32141,21.9566,12.7456,-1.17155,0.965819,2.33933,3.82459,1.81071,2.62109
L,15.4956,20.111,-4.28461,2.2081,21.898,12.7938,-1.17155,0.965819,2.39183,3.86,1.82305,2.61397
