sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,13.2388,2.43409,4.605,2.08981,13.2992,2.28469,5.02414,1.70964,0.0830581,0.17512,1.06783,1.06338
R,13.4682,2.54047,4.56565,2.16317,13.4837,2.35502,4.63875,1.63023,0.0822838,0.175324,1.05756,1.05569
L,13.6955,2.65053,4.52448,2.23703,13.7281,2.50773,4.64982,1.81374,0.0816262,0.174766,1.04768,1.0473
R,13.9208,2.7643,4.48147,2.31134,13.9512,2.59626,4.59803,1.80262,0.0809726,0.174644,1.03805,1.03987
L,14.1439,2.88179,4.43656,2.38601,14.1747,2.78828,4.56831,2.06824,0.0803411,0.173508,1.02872,1.03126
R,14.3646,3.00303,4.38974,2.46099,14.4277,2.89865,4.74079,2.10991,0.0800658,0.172517,1.02058,1.02309
L,14.583,3.12802,4.34097,2.5362,14.6347,2.97486,4.69113,2.0388,0.0796556,0.172196,1.01265,1.01621
R,14.7989,3.25679,4.29021,2.61157,14.8779,3.07971,4.76287,2.05724,0.079645,0.172281,1.0058,1.01004
L,15.0122,3.38932,4.23744,2.68703,15.0844,3.31717,4.6782,2.41108,0.0795251,0.171073,0.998885,1.00209
R,15.2228,3.52563,4.18263,2.76249,15.3043,3.43243,4.48912,2.36063,0.0795578,0.170068,0.991316,0.995053
L,15.4306,3.66572,4.12575,2.83789,15.513,3.66227,4.43644,2.65229,0.0796048,0.168668,0.983962,0.98715
R,15.6355,3.80957,4.06678,2.91315,15.7231,3.7908,4.36163,2.62999,0.07974,0.16732,0.976712,0.979817
L,15.8375,3.95719,4.00571,2.98817,15.9431,3.95156,4.35844,2.70505,0.0802161,0.165988,0.969948,0.972663
R,16.0363,4.10854,3.94251,3.0629,16.1438,4.07976,4.14588,2.64147,0.0807133,0.164725,0.962676,0.966471
L,16.2319,4.26363,3.87716,3.13723,16.3336,4.30547,4.0913,2.88566,0.0810786,0.163536,0.955612,0.959516
R,16.4242,4.42242,3.80966,3.21109,16.5483,4.45267,4.11475,2.89274,0.0818998,0.162335,0.949088,0.953025
L,16.613,4.5849,3.74,3.28438,16.7225,4.63682,4.04604,3.0003,0.0823795,0.161243,0.94272,0.946522
R,16.7983,4.75103,3.66817,3.35704,16.8865,4.77107,3.68082,2.87893,0.0824675,0.160072,0.935764,0.941324
L,16.9799,4.92077,3.59416,3.42897,17.0374,5.03626,3.58754,3.19612,0.0821598,0.159515,0.928959,0.934898
R,17.1579,5.09409,3.51797,3.50008,17.2092,5.19257,3.52852,3.17419,0.0818017,0.158808,0.9223,0.929013
L,17.3319,5.27094,3.4396,3.57028,17.3623,5.39083,3.47372,3.2801,0.0813036,0.158326,0.915791,0.923091
R,17.5019,5.45128,3.35907,3.63949,17.5189,5.54736,3.3569,3.23587,0.0807618,0.15763,0.909409,0.917891
L,17.6679,5.63506,3.27637,3.70762,17.711,5.66921,3.41414,3.12885,0.0803654,0.156598,0.903303,0.914096
